site_number;trn_transaction_date;trn_promotion_id;trn_item_number;units;gross_amount;vat;cost_price
210845;2017-08-31;0;1098823;1.0;26.0;5.2;12.85
210845;2017-08-31;0;1098678;1.0;25.0;5.0;12.41
210870;2017-08-31;0;1038466;3.0;72.0;14.399999999999999;36.21
210929;2017-08-31;0;1110346;1.0;25.0;5.0;13.06
210845;2017-08-31;0;1038203;1.0;12.0;2.4;5.52
210929;2017-08-31;0;1098560;1.0;17.0;3.4;8.72
210845;2017-08-31;0;1098674;1.0;25.0;5.0;13.06
210845;2017-08-31;0;1038229;1.0;0.0;0.0;7.56
210929;2017-08-31;0;1038466;4.0;96.0;19.2;48.28
210929;2017-08-31;0;1036623;3.0;96.0;19.200000000000003;50.699999999999996
210240;2017-08-31;0;1038229;3.0;51.0;10.2;24.68
210870;2017-08-31;0;1036903;1.0;17.0;3.4;8.54
210350;2017-08-31;0;1036196;2.0;48.0;9.6;24.62
210929;2017-08-31;0;1110358;3.0;75.0;15.0;37.38
210845;2017-08-31;0;1036103;2.0;34.0;6.8;17.18
210870;2017-08-31;0;1110359;1.0;14.0;2.8;5.93
210870;2017-08-31;0;1098825;1.0;30.0;6.0;13.99
210845;2017-08-31;0;1036513;2.0;34.0;6.8;17.3
210240;2017-08-31;0;1098560;1.0;17.0;3.4;8.72
210929;2017-08-31;0;1098826;1.0;30.0;6.0;14.0
210240;2017-08-31;0;1038203;1.0;12.0;2.4;5.52
210870;2017-08-31;0;1098560;2.0;34.0;6.8;17.44
210929;2017-08-31;0;1110347;3.0;60.0;12.0;31.89
210845;2017-08-31;0;1038229;1.0;17.0;3.4;8.56
210929;2017-08-31;0;1098674;4.0;100.0;20.0;52.24
210240;2017-08-31;0;1036103;1.0;17.0;3.4;8.59
210240;2017-08-31;0;1098824;2.0;52.0;10.4;26.18
210350;2017-08-31;0;1098826;1.0;30.0;6.0;14.0
210929;2017-08-31;0;1098677;1.0;36.0;7.2;19.07
210240;2017-08-31;0;1038625;1.0;17.0;3.4;8.56
210350;2017-08-31;0;1110358;1.0;25.0;5.0;12.46
210240;2017-08-31;0;1098823;2.0;52.0;10.4;25.7
210929;2017-08-31;0;1036196;12.0;288.0;57.599999999999987;147.72
210870;2017-08-31;0;1098817;1.0;17.0;3.4;8.04
210929;2017-08-31;0;1036513;1.0;17.0;3.4;8.65
210929;2017-08-31;0;1038625;1.0;17.0;3.4;8.56
210350;2017-08-31;0;1110359;3.0;42.0;8.3999999999999986;11.86
210870;2017-08-31;0;1036623;3.0;96.0;19.200000000000003;50.699999999999996
210845;2017-08-31;0;1098560;3.0;51.0;10.2;26.160000000000004
210929;2017-08-31;0;1098825;1.0;30.0;6.0;13.99
210240;2017-08-31;0;1036196;2.0;48.0;9.6;12.31
210240;2017-08-31;0;1098825;3.0;90.0;18.0;41.97
210870;2017-08-31;0;1036196;2.0;48.0;9.6;24.62
210929;2017-08-31;0;1110359;2.0;28.0;5.6;11.86
210929;2017-08-31;0;1036903;3.0;51.0;10.2;24.619999999999997
210845;2017-08-31;0;1098826;1.0;30.0;6.0;14.0
210870;2017-08-31;0;1038229;3.0;51.0;10.2;25.68
210870;2017-08-31;0;1038229;1.0;0.0;0.0;7.56
210870;2017-08-31;0;1098674;2.0;50.0;10.0;26.12
210870;2017-08-31;0;1036513;2.0;34.0;6.8;17.3
210929;2017-08-31;0;1098824;2.0;52.0;10.4;26.18
210845;2017-08-30;0;1110349;1.0;32.0;6.4;16.89
210845;2017-08-30;0;1098674;1.0;25.0;5.0;13.06
210929;2017-08-30;0;1038625;1.0;17.0;3.4;8.56
210929;2017-08-30;0;1038466;3.0;72.0;14.399999999999999;36.21
210845;2017-08-30;0;1098560;1.0;17.0;3.4;8.72
210870;2017-08-30;0;1110346;4.0;100.0;20.0;52.24
210929;2017-08-30;0;1098823;1.0;26.0;5.2;12.85
210845;2017-08-30;0;1038466;3.0;72.0;14.399999999999999;36.21
210870;2017-08-30;0;1036196;5.0;120.0;24.0;61.550000000000004
210350;2017-08-30;0;1110348;1.0;32.0;6.4;16.15
210870;2017-08-30;0;1038466;1.0;24.0;4.8;12.07
210240;2017-08-30;0;1098677;1.0;36.0;7.2;19.07
210845;2017-08-30;0;1110359;1.0;14.0;2.8;5.93
210870;2017-08-30;0;1098678;1.0;25.0;5.0;12.41
210929;2017-08-30;0;1098822;1.0;26.0;5.2;12.85
210240;2017-08-30;0;1036103;1.0;17.0;3.4;8.59
210845;2017-08-30;0;1098677;1.0;36.0;7.2;19.07
210870;2017-08-30;0;1098677;3.0;108.0;21.6;19.07
210240;2017-08-30;0;1098826;1.0;30.0;6.0;14.0
210845;2017-08-30;0;1036103;1.0;17.0;3.4;8.59
210350;2017-08-30;0;1098674;1.0;25.0;5.0;13.06
210870;2017-08-30;0;1038625;1.0;17.0;3.4;8.56
210240;2017-08-30;0;1098825;1.0;30.0;6.0;13.99
210240;2017-08-30;0;1098674;1.0;25.0;5.0;13.06
210240;2017-08-30;0;1098822;3.0;78.0;15.600000000000001;38.55
210350;2017-08-30;0;1036623;1.0;32.0;6.4;16.9
210240;2017-08-30;0;1110358;1.0;25.0;5.0;12.46
210870;2017-08-30;0;1036903;3.0;51.0;10.2;22.62
210845;2017-08-30;0;1098678;2.0;50.0;10.0;24.82
210240;2017-08-30;0;1036196;1.0;24.0;4.8;12.31
210929;2017-08-30;0;1098677;1.0;36.0;7.2;19.07
210870;2017-08-30;0;1036623;4.0;128.0;25.6;67.6
210845;2017-08-30;0;1110358;1.0;25.0;5.0;12.46
210929;2017-08-30;0;1036196;3.0;72.0;14.399999999999999;36.93
210929;2017-08-30;0;1038229;1.0;17.0;3.4;7.56
210870;2017-08-30;0;1110359;2.0;28.0;5.6;11.86
210240;2017-08-30;0;1110347;1.0;20.0;4.0;10.63
210845;2017-08-30;0;1036623;1.0;32.0;6.4;16.9
210350;2017-08-30;0;1110358;1.0;25.0;5.0;12.46
