site_number;trn_transaction_date;trn_promotion_id;trn_item_number;units;gross_amount;vat;cost_price;
210929;2018-08-31;0;1038466;4.0;96.0;19.2;52.72;
210870;2018-08-31;0;1036196;1.0;24.0;4.8;13.15;
210845;2018-08-31;0;1098826;1.0;30.0;6.0;14.97;
210929;2018-08-31;0;1098560;2.0;34.0;6.8;18.58;
210870;2018-08-31;0;1098826;2.0;60.0;12.0;29.94;
210845;2018-08-31;0;1098677;1.0;37.0;7.4;19.58;
210845;2018-08-31;0;1098824;1.0;30.0;6.0;14.87;
210929;2018-08-31;0;1036103;3.0;51.0;10.2;27.450000000000003;
210870;2018-08-31;0;1038229;3.0;51.0;10.2;27.36;
210870;2018-08-31;0;1098560;5.0;85.0;17.0;37.16;
210870;2018-08-31;0;1036623;2.0;68.0;13.6;35.98;
210929;2018-08-31;0;1136294;1.0;10.0;2.0;8.29;
210929;2018-08-31;0;1098827;1.0;32.0;6.4;16.06;
210929;2018-08-31;0;1098826;2.0;60.0;12.0;29.94;
210845;2018-08-31;0;1131992;1.0;26.0;5.2;12.9;
210870;2018-08-31;0;1038625;1.0;17.0;3.4;9.12;
210929;2018-08-31;0;1098677;2.0;74.0;14.8;39.16;
210929;2018-08-31;0;1038625;1.0;17.0;3.4;9.12;
210350;2018-08-31;0;1038466;1.0;24.0;4.8;13.18;
210240;2018-08-31;0;1036903;1.0;17.0;3.4;9.1;
210870;2018-08-31;0;1098677;2.0;74.0;14.8;39.16;
210350;2018-08-31;0;1136294;1.0;10.0;2.0;8.29;
210929;2018-08-31;0;1131990;1.0;34.0;6.8;18.3;
210929;2018-08-31;0;1038229;2.0;34.0;6.8;18.24;
210929;2018-08-31;0;1036903;1.0;17.0;3.4;9.1;
210240;2018-08-31;0;1036623;1.0;34.0;6.8;17.99;
210350;2018-08-31;0;1036196;1.0;24.0;4.8;13.15;
210845;2018-08-31;0;1036623;2.0;68.0;13.6;35.98;
210870;2018-08-31;0;1098674;1.0;26.0;5.2;13.92;
210845;2018-08-31;0;1038625;3.0;51.0;10.2;27.36;
210929;2018-08-31;0;1098674;1.0;26.0;5.2;13.92;
210240;2018-08-31;0;1098825;4.0;120.0;24.0;59.8;
210845;2018-08-31;0;1136294;2.0;20.0;4.0;16.58;
210870;2018-08-31;0;1038466;3.0;72.0;14.399999999999999;26.36;
210929;2018-08-31;0;1131991;1.0;26.0;5.2;12.34;
210845;2018-08-31;0;1038229;2.0;34.0;6.8;18.24;
210350;2018-08-31;0;1036623;4.0;136.0;27.2;35.98;
210240;2018-08-31;0;1131989;1.0;26.0;5.2;13.31;
210929;2018-08-31;0;1036196;1.0;24.0;4.8;13.15;
210240;2018-08-31;0;1098674;1.0;26.0;5.2;13.92;
210929;2018-08-31;0;1131989;2.0;52.0;10.4;26.62;
210870;2018-08-31;0;1131990;2.0;68.0;13.6;36.6;
210929;2018-08-31;0;1132788;3.0;60.0;12.0;37.17;
210845;2018-08-31;0;1110347;1.0;20.0;4.0;11.35;
210350;2018-08-31;0;1098826;1.0;30.0;6.0;14.97;
210845;2018-08-31;0;1036196;4.0;96.0;19.2;52.6;
210929;2018-08-31;0;1110359;3.0;42.0;8.3999999999999986;17.79;
210870;2018-08-31;0;1115099;2.0;52.0;10.4;24.66;
210929;2018-08-31;0;1036623;3.0;102.0;20.4;53.97;
210240;2018-08-31;0;1038625;1.0;17.0;3.4;9.12;
210350;2018-08-31;0;1098677;1.0;37.0;7.4;19.58;
210870;2018-08-30;0;1038229;1.0;17.0;3.4;9.12;
210929;2018-08-30;0;1098827;2.0;64.0;12.8;32.12;
210240;2018-08-30;0;1036623;1.0;34.0;6.8;17.99;
210929;2018-08-30;0;1131992;1.0;26.0;5.2;12.9;
210240;2018-08-30;0;1038466;1.0;24.0;4.8;13.18;
210929;2018-08-30;0;1038229;2.0;34.0;6.8;18.24;
210870;2018-08-30;0;1038625;4.0;68.0;13.6;36.48;
210845;2018-08-30;0;1098825;2.0;60.0;12.0;29.9;
210350;2018-08-30;0;1098825;1.0;30.0;6.0;14.95;
210870;2018-08-30;0;1098678;1.0;25.0;5.0;13.22;
210929;2018-08-30;0;1098677;1.0;37.0;7.4;19.58;
210240;2018-08-30;0;1036196;1.0;24.0;4.8;13.15;
210845;2018-08-30;0;1098674;2.0;52.0;10.4;27.84;
210240;2018-08-30;0;1098825;1.0;30.0;6.0;14.95;
210929;2018-08-30;0;1098560;1.0;17.0;3.4;9.29;
210929;2018-08-30;0;1098826;4.0;120.0;24.0;59.88;
210845;2018-08-30;0;1038625;1.0;17.0;3.4;9.12;
210845;2018-08-30;0;1098560;3.0;51.0;10.2;27.869999999999997;
210870;2018-08-30;0;1098677;2.0;74.0;14.8;39.16;
210929;2018-08-30;0;1038466;1.0;24.0;4.8;13.18;
210929;2018-08-30;0;1110359;2.0;28.0;5.6;11.86;
210929;2018-08-30;0;1136294;2.0;20.0;4.0;16.58;
210350;2018-08-30;0;1098560;2.0;34.0;6.8;18.58;
210240;2018-08-30;0;1038229;2.0;34.0;6.8;9.12;
210870;2018-08-30;0;1098560;2.0;34.0;6.8;18.58;
210929;2018-08-30;0;1098674;2.0;52.0;10.4;27.84;
210845;2018-08-30;0;1098826;2.0;60.0;12.0;29.94;
210929;2018-08-30;0;1036103;1.0;17.0;3.4;9.15;
210350;2018-08-30;0;1038203;1.0;12.0;2.4;5.52;
210350;2018-08-30;0;1036623;3.0;102.0;20.4;53.97;
210929;2018-08-30;0;1036196;1.0;24.0;4.8;13.15;
210845;2018-08-30;0;1131992;1.0;26.0;5.2;12.9;
210870;2018-08-30;0;1098674;1.0;26.0;5.2;13.92;
210350;2018-08-30;0;1098824;1.0;30.0;6.0;14.87;
210929;2018-08-30;0;1098824;1.0;30.0;6.0;14.87;
210870;2018-08-29;0;1131989;1.0;26.0;5.2;13.31;
210845;2018-08-29;0;1098824;1.0;30.0;6.0;14.87;
210350;2018-08-29;0;1131989;2.0;52.0;10.4;26.62;
210240;2018-08-29;0;1098677;1.0;37.0;7.4;19.58;
210929;2018-08-29;0;1036513;2.0;34.0;6.8;18.42;
210929;2018-08-29;0;1098826;1.0;30.0;6.0;14.97;
210350;2018-08-29;0;1098677;1.0;37.0;7.4;19.58;
210870;2018-08-29;0;1115099;1.0;26.0;5.2;12.33;
210350;2018-08-29;0;1036196;2.0;48.0;9.6;26.3;
210870;2018-08-29;0;1098826;2.0;60.0;12.0;29.94;
210845;2018-08-29;0;1038229;5.0;85.0;17.0;45.599999999999994;
210350;2018-08-29;0;1036623;4.0;136.0;27.2;71.96;
210845;2018-08-29;0;1098827;1.0;32.0;6.4;16.06;
210870;2018-08-29;0;1038466;4.0;96.0;19.2;52.72;
210845;2018-08-29;0;1036196;2.0;48.0;9.6;26.3;
210870;2018-08-29;0;1038625;3.0;51.0;10.2;27.36;
210240;2018-08-29;0;1115099;1.0;26.0;5.2;12.33;
210240;2018-08-29;0;1036196;1.0;24.0;4.8;13.15;
210845;2018-08-29;0;1098674;1.0;26.0;5.2;13.92;
210845;2018-08-29;0;1132788;2.0;40.0;8.0;24.78;
210350;2018-08-29;0;1110359;2.0;28.0;5.6;5.93;
210845;2018-08-29;0;1136294;1.0;10.0;2.0;8.29;
210929;2018-08-29;0;1036623;1.0;34.0;6.8;17.99;
210350;2018-08-29;0;1098826;1.0;30.0;6.0;14.97;
210870;2018-08-29;0;1098560;1.0;17.0;3.4;9.29;
210870;2018-08-29;0;1098678;1.0;25.0;5.0;13.22;
210240;2018-08-29;0;1038466;1.0;24.0;4.8;13.18;
210240;2018-08-29;0;1098826;1.0;30.0;6.0;14.97;
210870;2018-08-29;0;1038229;4.0;68.0;13.6;36.48;
210870;2018-08-29;0;1036196;1.0;24.0;4.8;13.15;
